term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),10.592180458992514,0.6830233184825937,15.507787468404635,2.425034144062142e-41,9.248668598181052,11.935692319803977
bill_length_mm,0.19989428095469575,0.017493646434669316,11.42667892032736,8.661123746495878e-26,0.16548415052747326,0.23430441138191824
speciesChinstrap,-1.933194264378663,0.22416004842880483,-8.62416955175071,2.545386476301918e-16,-2.374118718397645,-1.492269810359681
speciesGentoo,-5.106020077255787,0.19142432176023322,-26.673831362199028,3.6502254153416684e-85,-5.482553117597684,-4.7294870369138895
